P,DRIVER,TIME,
1,Denny Hamlin,15.576,
2,Kyle Larson,15.646,
3,Chase Elliott,15.655,
4,Colton Herta,15.665,
5,Chase Briscoe,15.667,
6,Christopher Bell,15.675,
7,Ritomo Miyata,15.691,
8,Austin Cindric,15.699,
9,Bubba Wallace,15.705,
10,Kyle Busch,15.713,
11,Scott McLaughlin,15.720,
12,Austin Dillon,15.727,
13,Tyler Reddick,15.730,
14,William Byron,15.753,
15,Shane Van Gisbergen,15.754,
16,Ryan Blaney,15.757,
17,Joey Logano,15.758,
18,Ty Gibbs,15.777,
19,Todd Gilliland,15.779,
20,Ryan Preece,15.796,
21,Daniel Hemric,15.797,
22,Chris Buescher,15.798,
23,Ron Silk,15.799,
24,Daniel Suarez,15.805,
25,Erik Jones,15.810,
26,Matt DiBenedetto,15.816,
27,Ricky Stenhouse Jr.,15.832,
28,Brad Keselowski,15.834,
29,Romain Grosjean,15.842,
30,Riley Herbst,15.852,
31,John Hunter Nemechek,15.867,
32,Ross Chastain,15.870,
33,Justin Allgaier,15.875,
34,Kaden Honeycutt,15.877,
35,Justin Bonsignore,15.891,
36,J.J. Yeley,15.892,
37,Joey Gase,15.904,
38,Layne Riggs,15.910,
39,Alex Bowman,15.945,
40,William Sawalich,15.945,
41,Austin Hill,15.964,
42,Ty Dillon,15.965,
43,Rajah Caruth,15.970,
44,Clint Bowyer,15.976,
45,Zane Smith,16.008,
46,Ty Majeski,16.034,
