P,DRIVER,TIME
1,Colton Herta,15.638
2,Denny Hamlin,15.645
3,Kyle Larson,15.649
4,Chase Elliott,15.666
5,Scott McLaughlin,15.667
6,Ryan Blaney,15.683
7,Ricky Stenhouse Jr.,15.735
8,Christopher Bell,15.743
9,William Byron,15.744
10,Chase Briscoe,15.747
11,Alex Bowman,15.749
12,Shane Van Gisbergen,15.760
13,Ross Chastain,15.771
14,Chris Buescher,15.775
15,Tyler Reddick,15.788
16,Bubba Wallace,15.797
17,Justin Bonsignore,15.822
18,Todd Gilliland,15.836
19,Riley Herbst,15.851
20,Ty Majeski,15.854
21,Austin Hill,15.857
22,Brad Keselowski,15.858
23,Kyle Busch,15.861
24,Ritomo Miyata,15.865
25,Kaden Honeycutt,15.880
26,Daniel Suarez,15.887
27,Joey Gase,15.889
28,Austin Dillon,15.898
29,Ty Gibbs,15.902
30,Daniel Hemric,15.907
31,Joey Logano,15.915
32,Austin Cindric,15.922
33,Clint Bowyer,15.924
34,Matt DiBenedetto,15.926
35,Ron Silk,15.931
36,Rajah Caruth,15.933
37,Ryan Preece,15.943
38,Erik Jones,15.947
39,Justin Allgaier,16.004
40,Romain Grosjean,16.005
41,Layne Riggs,16.040
42,John Hunter Nemechek,16.070
43,William Sawalich,16.117
44,Zane Smith,16.121
45,J.J. Yeley,16.154
46,Ty Dillon,16.313
