P,#,DRIVER,TIME
1,9,Chase Elliott,15.935
2,48,Alex Bowman,15.939
3,1,Ross Chastain,16.040
4,11,Denny Hamlin,16.077
5,24,William Byron,16.077
6,16,Daniel Hemric,16.084
7,20,Christopher Bell,16.105
8,33,Austin Hill,16.106
9,42,John Hunter Nemechek,16.119
10,5,Kyle Larson,16.136
11,45,Tyler Reddick,16.139
12,19,Riotmo Miyata,16.145
13,40,Kaden Honeycutt,16.158
14,88,Shane Van Gisbergen,16.161
15,12,Ryan Blaney,16.166
16,22,Scott McLaughlin,16.174
17,10,Ty Dillon,16.181
18,54,Ty Gibbs,16.195
19,3,Austin Dillon,16.199
20,34,Romain Grosjean,16.220
21,47,Ricky Stenhouse Jr.,16.220
22,23,Bubba Wallace,16.224
23,43,Erik Jones,16.229
24,50,Justin Allgaier,16.232
25,21,Joey Logano,16.251
26,51,Ron Silk,16.259
27,35,Riley Herbst,16.268
28,00,Chase Briscoe,16.280
29,07,Justin Bonsignore,16.291
30,13,Clint Bowyer,16.293
31,29,Brad Keselowski,16.307
32,99,Daniel Suárez,16.307
33,2,Austin Cindric,16.312
34,7,Ty Majeski,16.313
35,78,Matt DiBenedetto,16.337
36,6,Colton Herta,16.342
37,17,Chris Buescher,16.351
38,44,J.J. Yeley,16.373
39,38,Todd Gilliland,16.376
40,66,William Sawalich,16.400
41,8,Kyle Busch,16.414
42,56,Joey Gase,16.448
43,36,Rajah Caruth,16.448
44,91,Layne Riggs,16.460
45,77,Ryan Preece,16.470
46,62,Zane Smith,16.570
