P,#,DRIVER,TIME
1,20,Christopher Bell,50.259
2,47,Ricky Stenhouse Jr.,50.352
3,3,Austin Dillon,50.360
4,11,Denny Hamlin,50.372
5,29,Brad Keselowski,50.374
6,42,John Hunter Nemechek,50.401
7,10,Ty Dillon,50.419
8,50,Harrison Burton,50.426
9,24,William Byron,50.434
10,43,Erik Jones,50.435
11,00,Chase Briscoe,50.437
12,17,Chris Buescher,50.438
13,51,Ryan Newman,50.460
14,99,Daniel Suarez,50.461
15,38,Todd Gilliland,50.481
16,40,Kasey Kahne,50.483
17,12,Ryan Blaney,50.485
18,07,Justin Bonsignore,50.488
19,45,Tyler Reddick,50.502
20,36,Rajah Caruth,50.522
21,23,Bubba Wallace,50.523
22,21,Joey Logano,50.535
23,22,Scott McLaughlin,50.553
24,56,Joey Gase,50.576
25,16,Daniel Hemric,50.582
26,78,Conor Daly,50.594
27,7,Ty Majeski,50.636
28,8,Kyle Busch,50.649
29,66,William Sawalich,50.651
30,9,Chase Elliott,50.657
31,44,J.J Yeley,50.665
32,88,Shane Van Gisbergen,50.686
33,62,Zane Smith,50.747
